,Unnamed: 0,country,date,exactDate,delay
0,0,Albania,2020-04-12,2020-03-13,+30
1,1,Andorra,2020-04-06,,
2,2,Armenia,2020-03-21,2020-03-24,-2
3,3,Austria,2020-03-21,2020-03-16,+5
4,4,Azerbaijan,2020-04-03,2020-03-31,+3
5,5,Belarus,2020-05-01,,
6,6,Belgium,2020-04-04,2020-03-18,+17
7,7,Bosnia and Herzegovina,2020-04-30,,
8,8,Bulgaria,2020-05-14,,
9,9,Croatia,2020-03-30,2020-03-18,+12
10,10,Cyprus,2020-04-07,,
11,11,Czechia,2020-03-29,,
12,12,Denmark,2020-04-04,2020-03-11,+24
13,13,Estonia,2020-03-28,,
14,14,Finland,2020-04-02,2020-03-27,+6
15,15,France,2020-03-31,2020-03-17,+14
16,16,Georgia,2020-04-20,2020-03-31,+20
17,17,Germany,2020-03-29,2020-03-23,+6
18,18,Greece,2020-03-31,2020-03-23,+8
19,19,Hungary,2020-04-20,2020-03-28,+23
20,20,Iceland,2020-04-01,,
21,21,Ireland,2020-04-08,2020-03-12,+27
22,22,Italy,2020-03-21,2020-03-09,+12
23,23,Kazakhstan,2020-04-26,,
24,24,Kosovo,2020-04-27,2020-03-14,+44
25,25,Latvia,2020-03-25,,
26,26,Liechtenstein,2020-03-26,,
27,27,Lithuania,2020-03-26,2020-03-16,+10
28,28,Luxembourg,2020-03-27,2020-03-18,+9
29,29,Malta,2020-03-31,,
30,30,Moldova,2020-04-07,,
31,31,Montenegro,2020-04-10,2020-03-24,+17
32,32,Netherlands,2020-04-03,2020-03-16,+18
33,33,North Macedonia,2020-04-05,,
34,34,Norway,2020-03-22,2020-03-12,+10
35,35,Poland,2020-04-04,2020-03-13,+22
36,36,Portugal,2020-03-27,2020-03-19,+8
37,37,Romania,2020-04-02,2020-03-25,+8
38,38,Russia,2020-04-24,2020-03-30,+25
39,39,San Marino,2020-05-03,2020-03-14,+50
40,40,Serbia,2020-04-12,2020-03-15,+28
41,41,Slovakia,2020-04-16,2020-03-16,+31
42,42,Slovenia,2020-04-05,,
43,43,Spain,2020-03-29,2020-03-14,+15
44,44,Sweden,2020-04-11,,
45,45,Switzerland,2020-03-21,2020-03-17,+4
46,46,Turkey,2020-04-06,2020-04-23,-16
47,47,Ukraine,2020-05-04,2020-03-17,+48
48,48,United Kingdom,2020-04-02,2020-03-23,+10
