country,date
Albania,2020-04-12
Andorra,2020-04-06
Armenia,2020-03-21
Austria,2020-03-21
Azerbaijan,2020-04-03
Belarus,2020-05-01
Belgium,2020-04-04
Bosnia and Herzegovina,2020-04-30
Bulgaria,2020-05-14
Croatia,2020-03-30
Cyprus,2020-04-07
Czechia,2020-03-29
Denmark,2020-04-04
Estonia,2020-03-28
Finland,2020-04-02
France,2020-03-31
Georgia,2020-04-20
Germany,2020-03-29
Greece,2020-03-31
Hungary,2020-04-20
Iceland,2020-04-01
Ireland,2020-04-08
Italy,2020-03-21
Kazakhstan,2020-04-26
Kosovo,2020-04-27
Latvia,2020-03-25
Liechtenstein,2020-03-26
Lithuania,2020-03-26
Luxembourg,2020-03-27
Malta,2020-03-31
Moldova,2020-04-07
Montenegro,2020-04-10
Netherlands,2020-04-03
North Macedonia,2020-04-05
Norway,2020-03-22
Poland,2020-04-04
Portugal,2020-03-27
Romania,2020-04-02
Russia,2020-04-24
San Marino,2020-05-03
Serbia,2020-04-12
Slovakia,2020-04-16
Slovenia,2020-04-05
Spain,2020-03-29
Sweden,2020-04-11
Switzerland,2020-03-21
Turkey,2020-04-06
Ukraine,2020-05-04
United Kingdom,2020-04-02
